262,Reunion (+262),Reunion
40,Romania (+40),Romania
7,Russia (+7),Russia
250,Rwanda (+250),Rwanda
1,Saipan (+1),Saipan
966,Saudi Arabia (+966),Saudi Arabia
221,Senegal (+221),Senegal
248,Seychelles (+248),Seychelles
232,Sierra Leone (+232),Sierra Leone
65,Singapore (+65),Singapore
421,Slovak (+421),Slovak
386,Slovenia (+386),Slovenia
27,South Africa (+27),South Africa
34,Spain (+34),Spain
94,Sri Lanka (+94),Sri Lanka
46,Sweden (+46),Sweden
41,Switzerland (+41),Switzerland
963,Syria (+963),Syria
7,Tadzhikistan (+7),Tadzhikistan
886,Taiwan (+886),Taiwan
255,Tanzania (+255),Tanzania
66,Thailand (+66),Thailand
216,Tunisia (+216),Tunisia
90,Turkey (+90),Turkey
7,Turkmenistan (+7),Turkmenistan
1,U.S.A. (+1),U.S.A.
256,Uganda (+256),Uganda
380,Ukraine (+380),Ukraine
941,United Arab Emirates (+941),United Arab Emirates
44,United Kingdom (+44),United Kingdom
598,Uruguay (+598),Uruguay
7,Uzbekistan (+7),Uzbekistan
678,Vanuatu (+678),Vanuatu
39,Vatican (+39),Vatican
58,Venezuela (+58),Venezuela
84,Viet Nam (+84),Viet Nam
967,Yemen (+967),Yemen
381,Yugoslavia (+381),Yugoslavia
260,Zambia (+260),Zambia
263,Zimbabwe (+263),Zimbabwe
